Date,Incoming Calls,Cases Created,Cases Acquired,Cases Closed,Phone Time,Case Minutes,Open Cases,Cases Needing Update,% Cases Needing Update,Surveys,Offered Calls,Abandoned Calls,Voice Mail,Handled Calls,Handle %,Abandon %,RONAs,ASA,Max Answer Time,Average Abandon Time,Service Level
11/10/2015,44,38,19,46,57,0,223,124,,2,46,2,0,44,96%,4%,2,1.2,19,15.8,78%
11/11/2015,53,43,7,51,65,0,223,124,,1,59,1,0,58,98%,2%,3,0,1.7,1.9,100%
11/12/2015,57,43,19,44,36,0,223,124,,5,64,7,1,56,88%,11%,2,1.5,23.4,3.6,79%
11/13/2015,47,37,10,55,62,0,223,124,,1,50,0,0,50,100%,0%,2,0,0,,100%
11/14/2015,,,,,,,,,,,,,,,,,,,,,
11/15/2015,,,,,,,,,,,,,,,,,,,,,
11/16/2015,49,38,4,38,56,0,223,124,,5,50,1,0,49,98%,2%,3,0.6,26.1,9.8,94%
11/17/2015,55,44,14,60,52,0,223,124,,2,56,0,0,56,100%,0%,3,0,1.7,,100%
11/18/2015,39,32,9,35,75,0,223,124,,,43,0,0,43,100%,0%,6,0.1,2,,98%
11/19/2015,62,48,16,58,64,0,223,124,,0,63,1,0,62,98%,2%,2,0.6,13.6,2.4,94%
11/20/2015,41,28,10,30,64,0,223,124,,0,45,3,0,42,93%,7%,4,0.6,14.6,6,91%
11/21/2015,,,,,,,,,,,,,,,,,,,,,
11/22/2015,,,,,,,,,,,,,,,,,,,,,
11/23/2015,53,46,13,49,66,0,223,124,,3,55,1,0,53,96%,2%,4,0.2,5.2,2.7,96%
11/24/2015,56,43,18,53,58,0,223,124,,2,58,1,0,57,98%,2%,2,0.3,5.4,2.3,96%
11/25/2015,65,48,8,49,65,0,223,124,,1,66,1,0,65,98%,2%,9,0,1.7,0.3,100%
11/26/2015,,,,,,,,,,,,,,,,,,,,,
11/27/2015,10,7,0,6,23,0,223,124,,2,16,4,1,10,62%,25%,0,2.1,10.2,7.8,75%
11/28/2015,,,,,,,,,,,,,,,,,,,,,
11/29/2015,,,,,,,,,,,,,,,,,,,,,
11/30/2015,56,46,20,49,55,0,223,124,,0,59,2,0,56,95%,3%,3,0.2,8.9,14.9,95%
12/1/2015,51,46,17,54,60,0,229,122,,3,51,0,0,51,100%,0%,3,0.2,6.5,,96%
12/2/2015,55,42,12,60,51,0,229,122,,3,57,2,0,55,96%,4%,4,1.7,14.8,2.6,82%
12/3/2015,45,42,22,52,52,0,229,122,,0,48,3,0,44,92%,6%,3,0.7,10.5,7.6,85%
12/4/2015,36,38,14,51,59,0,229,122,,4,39,2,0,37,95%,5%,0,0.4,3.8,3.5,89%
12/5/2015,,,,,,,,,,,,,,,,,,,,,
12/6/2015,,,,,,,,,,,,,,,,,,,,,
12/7/2015,55,42,15,51,50,0,229,122,,3,61,4,2,55,90%,7%,4,2.7,30.2,9,77%
12/8/2015,46,32,11,44,46,0,224,150,,0,53,6,0,47,89%,11%,2,1.6,12.3,2.6,80%
12/9/2015,40,35,12,48,51,0,224,150,,2,44,3,1,39,89%,7%,4,0.5,8,8.2,90%
12/10/2015,40,28,12,50,50,0,224,150,,1,43,2,1,40,93%,5%,2,1,11.2,3.4,85%
12/11/2015,41,37,12,44,40,0,224,150,,2,48,6,1,41,85%,12%,3,2.9,29.6,8,67%
12/12/2015,,,,,,,,,,,,,,,,,,,,,
12/13/2015,,,,,,,,,,,,,,,,,,,,,
12/14/2015,77,63,27,87,53,0,224,150,,2,89,11,0,77,87%,12%,4,1,10.8,7.4,81%
12/15/2015,47,41,20,42,31,0,224,150,,3,65,16,1,47,72%,25%,3,3.8,19.9,7,49%
12/16/2015,54,41,10,48,42,0,224,150,,4,66,9,2,54,82%,14%,5,1.7,11.2,3.7,73%
12/17/2015,50,37,11,40,68,0,224,150,,2,55,3,2,50,91%,5%,5,1.5,24.9,8.5,80%
12/18/2015,44,32,19,38,39,0,224,150,,1,61,14,2,44,72%,23%,9,3.9,49.2,8.9,58%
12/19/2015,,,,,,,,,,,,,,,,,,,,,
12/20/2015,,,,,,,,,,,,,,,,,,,,,
12/21/2015,54,43,8,53,61,0,224,150,,0,60,4,0,55,92%,7%,5,0.4,6.7,5.6,91%
12/22/2015,46,38,18,49,49,0,224,150,,1,54,9,0,44,81%,17%,7,2.3,17.4,1.7,74%
12/23/2015,47,36,11,62,42,0,224,150,,2,52,4,1,46,88%,8%,2,0.9,10.9,7.1,88%
12/24/2015,21,15,11,15,49,0,224,150,,5,21,0,0,21,100%,0%,2,0,0.9,,100%
12/25/2015,,,,,,,,,,,,,,,,,,,,,
12/26/2015,,,,,,,,,,,,,,,,,,,,,
12/27/2015,,,,,,,,,,,,,,,,,,,,,
12/28/2015,42,33,13,39,51,0,224,150,,0,45,3,0,42,93%,7%,5,0.5,12,9.8,89%
12/29/2015,60,47,18,48,45,0,224,150,,2,68,8,0,60,88%,12%,2,2.4,34.9,6.7,71%
12/30/2015,50,43,11,46,34,0,224,150,,2,61,8,3,50,82%,13%,4,2.8,25,11.9,68%
12/31/2015,47,31,8,32,36,0,224,150,,3,49,2,0,47,96%,4%,9,3.9,33.6,3.6,69%
1/1/2016,,,,,,,,,,,,,,,,,,,,,
1/2/2016,,,,,,,,,,,,,,,,,,,,,
1/3/2016,,,,,,,,,,,,,,,,,,,,,
1/4/2016,44,37,10,60,55,0,214,98,,1,48,2,1,44,92%,4%,0,0.1,5,3.6,96%
1/5/2016,42,36,20,43,43,0,214,98,,0,46,3,1,42,91%,7%,1,1.1,19.8,3.2,84%
1/6/2016,52,37,13,45,49,0,214,98,,4,53,1,0,52,98%,2%,2,0.4,16.6,1.9,96%
1/7/2016,55,48,8,54,51,0,214,98,,0,63,8,0,55,87%,13%,5,1.6,41.3,5.8,82%
1/8/2016,49,40,13,40,45,0,214,98,,1,54,4,1,49,91%,7%,4,1.4,11.6,1.8,78%
1/9/2016,,,,,,,,,,,,,,,,,,,,,
1/10/2016,,,,,,,,,,,,,,,,,,,,,
1/11/2016,45,37,9,46,30,0,214,98,,0,57,6,1,50,88%,11%,2,1.1,9.1,2,80%
1/12/2016,43,32,14,37,33,0,214,98,,0,49,1,0,47,96%,2%,4,0.6,9.1,7,92%
1/13/2016,47,34,11,49,39,0,214,98,,1,52,1,0,51,98%,2%,10,1.1,9.8,1.6,82%
1/14/2016,48,45,9,45,33,0,214,98,,0,58,6,0,51,88%,10%,5,1.9,16.9,5.5,69%
1/15/2016,37,32,13,48,26,0,214,98,,1,47,8,1,36,77%,17%,4,3.1,20.4,2.3,58%
1/16/2016,,,,,,,,,,,,,,,,,,,,,
1/17/2016,,,,,,,,,,,,,,,,,,,,,
1/18/2016,9,9,7,18,31,0,217,113,,0,9,0,0,9,100%,0%,2,1.8,16.4,,89%
1/19/2016,43,38,14,39,47,0,217,113,,3,45,1,0,43,96%,2%,7,1.4,32.7,12.7,91%
1/20/2016,52,45,9,63,50,0,217,113,,2,61,8,1,52,85%,13%,5,3.2,27.8,3.6,65%
1/21/2016,55,47,6,49,53,0,217,113,,0,59,4,0,52,88%,7%,6,1.5,15.2,6.3,74%
1/22/2016,44,29,13,37,42,0,217,113,,2,46,1,1,43,93%,2%,2,3,42,0,80%
1/23/2016,,,,,,,,,,,,,,,,,,,,,
1/24/2016,,,,,,,,,,,,,,,,,,,,,
1/25/2016,,,,,,,,,,,,,,,,,,,,,
1/26/2016,,,,,,,,,,,,,,,,,,,,,
1/27/2016,,,,,,,,,,,,,,,,,,,,,
1/28/2016,,,,,,,,,,,,,,,,,,,,,
1/29/2016,,,,,,,,,,,,,,,,,,,,,
1/30/2016,,,,,,,,,,,,,,,,,,,,,
1/31/2016,,,,,,,,,,,,,,,,,,,,,
